ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Soph_Aj_72	Sophocles	Ajax	101-102	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:101.1-102.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_73	Sophocles	Ajax	102	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:102.6-102.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_74	Sophocles	Ajax	103	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:103.1-103.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_75	Sophocles	Ajax	104	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:104.1-104.2
urn:cite2:gagdt:sentences.v1:Soph_Aj_76	Sophocles	Ajax	104	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:104.3-104.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_77	Sophocles	Ajax	105-106	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:105.1-106.2
urn:cite2:gagdt:sentences.v1:Soph_Aj_78	Sophocles	Ajax	106	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:106.3-106.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_79	Sophocles	Ajax	107	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:107.1-107.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_80	Sophocles	Ajax	108	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:108.1-108.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_81	Sophocles	Ajax	109	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:109.1-109.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_82	Sophocles	Ajax	110	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:110.1-110.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_83	Sophocles	Ajax	111	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:111.1-111.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_84	Sophocles	Ajax	112	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:112.1-112.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_85	Sophocles	Ajax	113	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:113.1-113.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_86	Sophocles	Ajax	114-115	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:114.1-115.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_87	Sophocles	Ajax	116	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:116.1-116.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_88	Sophocles	Ajax	116-117	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:116.5-117.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_89	Sophocles	Ajax	118	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:118.1-118.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_90	Sophocles	Ajax	119-120	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:119.1-120.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_91	Sophocles	Ajax	121	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:121.1-121.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_92	Sophocles	Ajax	121-124	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:121.6-124.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_93	Sophocles	Ajax	125-126	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:125.1-126.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_94	Sophocles	Ajax	127-130	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:127.1-130.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_95	Sophocles	Ajax	131-132	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:131.1-132.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_96	Sophocles	Ajax	132-133	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:132.4-133.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_97	Sophocles	Ajax	134-136	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:134.1-136.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_98	Sophocles	Ajax	137-140	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:137.1-140.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_99	Sophocles	Ajax	141-147	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:141.1-147.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_100	Sophocles	Ajax	148-150	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:148.1-150.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_101	Sophocles	Ajax	150-153	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:150.5-153.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_102	Sophocles	Ajax	154-155	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:154.1-155.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_103	Sophocles	Ajax	155-156	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:155.5-156.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_104	Sophocles	Ajax	157	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:157.1-157.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_105	Sophocles	Ajax	158-159	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:158.1-159.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_106	Sophocles	Ajax	160-161	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:160.1-161.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_107	Sophocles	Ajax	162-163	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:162.1-163.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_108	Sophocles	Ajax	164-166	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:164.1-166.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_109	Sophocles	Ajax	167-168	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:167.1-168.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_110	Sophocles	Ajax	169-171	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:169.1-171.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_111	Sophocles	Ajax	172-178	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:172.1-178.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_112	Sophocles	Ajax	179-181	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:179.1-181.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_113	Sophocles	Ajax	182-185	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:182.1-185.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_114	Sophocles	Ajax	186	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:186.1-186.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_115	Sophocles	Ajax	186-187	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:186.7-187.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_116	Sophocles	Ajax	188-192	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:188.1-192.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_117	Sophocles	Ajax	193-195	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:193.1-195.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_118	Sophocles	Ajax	196-199	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:196.1-199.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_119	Sophocles	Ajax	200	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:200.1-200.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_120	Sophocles	Ajax	201-204	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:201.1-204.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_121	Sophocles	Ajax	205-207	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:205.1-207.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_122	Sophocles	Ajax	208-210	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:208.1-210.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_123	Sophocles	Ajax	211-213	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:211.1-213.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_124	Sophocles	Ajax	214	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:214.1-214.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_125	Sophocles	Ajax	215	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:215.1-215.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_126	Sophocles	Ajax	216	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:216.1-216.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_127	Sophocles	Ajax	217-218	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:217.1-218.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_128	Sophocles	Ajax	219-220	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:219.1-220.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_129	Sophocles	Ajax	221-226	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:221.1-226.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_130	Sophocles	Ajax	227	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:227.1-227.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_131	Sophocles	Ajax	227-230	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:227.6-230.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_132	Sophocles	Ajax	231	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:231.1-231.2
urn:cite2:gagdt:sentences.v1:Soph_Aj_133	Sophocles	Ajax	231-232	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:231.3-232.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_134	Sophocles	Ajax	235-236	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:235.1-236.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_135	Sophocles	Ajax	237-244	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:237.1-244.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_136	Sophocles	Ajax	245-250	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:245.1-250.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_137	Sophocles	Ajax	251-252	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:251.1-252.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_138	Sophocles	Ajax	252-255	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:252.4-255.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_139	Sophocles	Ajax	256	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:256.1-256.2
urn:cite2:gagdt:sentences.v1:Soph_Aj_140	Sophocles	Ajax	256-258	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:256.3-258.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_141	Sophocles	Ajax	260-262	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:260.1-262.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_142	Sophocles	Ajax	263	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:263.1-263.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_143	Sophocles	Ajax	264	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:264.1-264.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_144	Sophocles	Ajax	265-267	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:265.1-267.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_145	Sophocles	Ajax	268	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:268.1-268.10
