ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Aesch_Ag_128	Aeschylus	Agamemnon	330-333	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:330.1-333.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_129	Aeschylus	Agamemnon	334-337	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:334.1-337.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_130	Aeschylus	Agamemnon	338-340	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:338.1-340.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_131	Aeschylus	Agamemnon	341-342	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:341.1-342.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_132	Aeschylus	Agamemnon	343-344	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:343.1-344.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_133	Aeschylus	Agamemnon	345-347	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:345.1-347.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_134	Aeschylus	Agamemnon	348	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:348.1-348.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_135	Aeschylus	Agamemnon	349	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:349.1-349.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_136	Aeschylus	Agamemnon	350	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:350.1-350.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_137	Aeschylus	Agamemnon	351	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:351.1-351.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_138	Aeschylus	Agamemnon	352-353	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:352.1-353.5
